,id,madura,indonesia
32,23230,adâ',depan
33,23231,adâ',habis
35,23233,adâp,adzab
36,23234,adâp,sopan santun
41,23239,addhuh,adu
42,23240,addhuh,cocok
68,23266,agghâ',ancam
69,23267,agghâ',ragu
83,23281,aghung,agung
84,23282,aghung,punya
85,23283,aghung,embah
107,23305,ajhih,nilai harga
108,23306,ajhih,kesaktian
120,23318,ajunan,depan
121,23319,ajunan,kamu
147,23345,alang,alang
148,23346,alang,ilalang
195,23393,ambhu,usah
196,23394,ambhu,tarik
285,23483,angka',jamuan
286,23484,angka',angkat
302,23500,angsor,engah
303,23501,angsor,angsur
307,23505,anom,muda
308,23506,anom,paman
312,23510,antem,amis
313,23511,antem,hantam
316,23514,antep,lempar
317,23515,antep,mantap
340,23538,ara,ara
341,23539,ara,barangkali
342,23540,ara,arah
388,23586,asma,nama
389,23587,asma,penyakit asma
397,23595,asta,tangan
398,23596,asta,kuburan
410,23608,ator,hatur
411,23609,ator,atur
451,23649,bâghi,ijin
452,23650,bâghi,beri
459,23657,bâjhâh,besi
460,23658,bâjhâh,gigi
494,23692,balon,balon
495,23693,balon,dop lampu listrik
575,23773,bekkas,bekas
576,23774,bekkas,setelah
589,23787,bellâs,belas
590,23788,bellâs,belasan
623,23821,bennang,benang
624,23822,bennang,berkuasa
627,23825,bèntèng,benteng
628,23826,bèntèng,banteng
687,23885,bhâjem,bayam
688,23886,bhâjem,payudara
695,23893,bhâkal,bakal
696,23894,bhâkal,tunangan
707,23905,bhâlâ',luka
708,23906,bhâlâ',kuwalat
712,23910,bhâlâdhâs,sejenis biawak
713,23911,bhâlâdhâs,terperanjat
750,23948,bhândhâr,bandar (juru judi)
751,23949,bhândhâr,bandar (pelabuhan)
783,23981,bhântèng,banting
784,23982,bhântèng,banteng
799,23997,bhârât,ibarat
800,23998,bhârât,bertiup sangat keras
801,23999,bhâreng,sama
802,24000,bhâreng,tatkala
803,24001,bhâreng,babu
831,24029,bhâu,bau
832,24030,bhâu,bahu
844,24042,bheddhâl,keluar
845,24043,bheddhâl,lari karena terlepas
848,24046,bheddhuk,beduk
849,24047,bheddhuk,waktu tengah hari
858,24056,bhellâk,belang-belang
859,24057,bhellâk,warna kehitaman
900,24098,bherkat,sebab
901,24099,bherkat,nasi dan lauk pauk sebagai hadiah
902,24100,bherkat,berkat
917,24115,bhibhit,bibit
918,24116,bhibhit,mula
993,24191,bhlânan,pegaraman
994,24192,bhlânan,tambak
1051,24249,bhrusa,bertebaran
1052,24250,bhrusa,tenar
1089,24287,bhujung,buyung
1090,24288,bhujung,rampasan
1117,24315,bhunga,gembira
1118,24316,bhunga,bunga
1144,24342,bhuruh,baru saja
1145,24343,bhuruh,berburu
1146,24344,bhuruk,longsor
1147,24345,bhuruk,tidak jadi
1148,24346,bhurun,buron
1149,24347,bhurun,dunia flora dan fauna
1161,24359,bhutok,pupuk
1162,24360,bhutok,botok
1216,24414,binè,bibit
1218,24416,binè,istri
1318,24516,bluder,saudara laki-laki
1319,24517,bluder,kukus
1441,24639,bukoh,buku
1442,24640,bukoh,kutil dikulit
1443,24641,bukoh,butiran garam
1498,24696,buri',pantat
1499,24697,buri',lurik
1535,24733,cabhâr,lemah
1536,24734,cabhâr,lambat
1561,24759,cagher,harapan
1562,24760,cagher,untung
1571,24769,cakkra,menerka
1572,24770,cakkra,cakra
1624,24822,cambur,campur
1625,24823,cambur,serupa
1702,24900,carbâk,blobor
1703,24901,carbâk,mulut besar
1712,24910,carèk,carik
1713,24911,carèk,menggurat
1725,24923,carokong,burik
1726,24924,carokong,kotor
1739,24937,cator,kata
1740,24938,cator,permainan catur
1787,24985,cèlèng,mercon
1788,24986,cèlèng,celeng
1795,24993,cella',celak mata
1796,24994,cella',melotot
1879,25077,cepprèt,semburan
1880,25078,cepprèt,bunyi jeppretan
1887,25085,cèrè,codot
1888,25086,cèrè,ciri
1889,25087,cèrè',berak
1890,25088,cèrè',menghinakan
1902,25100,cerobhu,ceroboh
1903,25101,cerobhu,ikan asin
1912,25110,cèt,cat
1913,25111,cèt,mencicit
1970,25168,cocor,paruh
1971,25169,cocor,cocor bebek
2028,25226,congè,menyuapi anak kecil
2029,25227,congè,suka tertawa
2072,25270,cotèk,eceran
2073,25271,cotèk,cungkil
2103,25301,dâdâp,dadap
2104,25302,dâdâp,bingung
2118,25316,dam,darah
2119,25317,dam,dam
2120,25318,dâmma,domma
2121,25319,dâmma,bagaimana
2148,25346,dawet,dawet
2149,25347,dawet,laknat
2183,25381,dhâbu,kata-kata
2184,25382,dhâbu,titah
2217,25415,dhâlpang,jatuh bertiarap
2218,25416,dhâlpang,mulai bercabang
2276,25474,dhekdhek,potongan
2277,25475,dhekdhek,sekam
2519,25717,ella,telah
2520,25718,ella,jangan
2557,25755,ènga',ingat
2558,25756,ènga',seperti
2639,25837,ettang,catut
2640,25838,ettang,ember
2771,25969,ghân,sampai
2772,25970,ghân,harga
2773,25971,ghân,demi
2846,26044,ghâtèh,suka menolong
2847,26045,ghâtèh,segera
2875,26073,ghempor,bentur
2876,26074,ghempor,gempur
2996,26194,ghugghu',gagap
2997,26195,ghugghu',canggung
3037,26235,ghurghur,sisa-sisa
3038,26236,ghurghur,garuk
3251,26449,jhâil,jail
3252,26450,jhâil,air liur
3356,26554,jhujjhu,tusuk
3357,26555,jhujjhu,kebelet
3819,27017,kèndhel,tunda
3820,27018,kèndhel,diam
3840,27038,kennyot,denyut
3841,27039,kennyot,isap
4082,27280,kolak,kulak
4083,27281,kolak,takaran
7086,30284,rajhung,rajungan
7087,30285,rajhung,jari
7090,30288,rajih,adik perempuan
7091,30289,rajih,istri
7098,30296,raka,kakak laki-laki
7099,30297,raka,suami
7126,30324,ramah,bapak
7127,30325,ramah,paman
7279,30477,rasok,baju
7280,30478,rasok,bra
8070,31268,saèng,serampang
8071,31269,saèng,saing
8072,31270,saèng,serampang
8073,31271,saèng,saing
8074,31272,saèngghâ,sehingga
8075,31273,saèngghâ,apabila
8224,31422,salat,shalat
8225,31423,salat,kolera
8276,31474,salèra,wajah
8277,31475,salèra,saya
8392,31590,sambhut,pinjam
8393,31591,sambhut,pegang
8432,31630,sampè,cukup
8433,31631,sampè,kenyang
8630,31828,sapah,siapa
8631,31829,sapah,sapa
8683,31881,sarah,parah
8684,31882,sarah,sukar
8725,31923,sarèn,sari
8726,31924,sarèn,tidur
8729,31927,sareng,dan
8731,31929,sareng,babu
8741,31939,sarèra,wajah
8742,31940,sarèra,saya
9583,32781,sèrah,siapa
9584,32782,sèrah,kepala
9585,32783,sèram,siram
9586,32784,sèram,mandi
9663,32861,serrat,serat
9664,32862,serrat,tulis
9676,32874,serrèng,sering
9678,32876,serrèng,ramping
9908,33106,slèra,wajah
9909,33107,slèra,saya
9936,33134,so,dan
9937,33135,so,oleh
9960,33158,sobung,habis
9961,33159,sobung,sepi
9962,33160,socah,mata
9963,33161,socah,bonggol
10036,33234,sokoh,kaki
10037,33235,sokoh,suku
10356,33554,srèra,wajah
10357,33555,srèra,saya
10515,33713,talong,tanda huruf
10516,33714,talong,menyimpan
11116,34314,tondu,tunduk
11117,34315,tondu,kantuk
11118,34316,tondu',tunduk
11119,34317,tondu',tiba
