NO,Madura,Indonesia
1,Ramah toju' èadâ' masjid Socah,Paman duduk di depan mesjid Socah
2,Alè' lo' èbâghiaghi mangkat dâ' Karang Entang,Adik tak diizinkan berangkat ke Karang Entang
3,Binèna engko' asli orèng Gili Anyar,Istrinya saya asli orang Gili Anyar
4,Bhâuna orèng rowa lokah polana labu dâri sapèda,Bahunya orang itu luka karena jatuh dari sepeda
5,Kodhu ghâtèh dâ' tatangghâ,Harus suka menolong ke tetangga
6,biyasah orèng ngènjhâm pèssè ghurghur tanang,biasanya orang meminjam uang garuk tangan
7,acarana èkèndhel polana ojhân,acaranya ditunda karena hujan
8,senèyap kennyot jântong dârâ resbhes dâ' seloro bâdân,setiap denyut jantung darah mengalir ke seluruh badan
9,adâp nomer sèttong dâlem pertèngka sè beccè',sopan santun nomer satu dalam perilaku yang baik
10,orèng rowa kowat angka' mèjâ,orang itu kuat angkat meja
11,bèntèng rèya èghâbây dâri bâtoh sè kowat,benteng ini dibuat dari batu yang kuat
12,alè' bhâkal dhâddhi dokter,adik bakal jadi dokter
13,Irul bhuruh mangkat dâ' Karang Penang Oloh,Irul baru saja berangkat ke Karang Penang Oloh
14,agghâ' sè jâwâb soal fisika,ragu yang jawab soal matematika
15,ajhih emmas ongghâ tègghih ,nilai harga emas naik tinggi
16,anom molè dâri dhisah Karang Pao,paman pulang dari desa Karang Pao
17,alè' èantem so kancana,adik dihantam oleh temannya
18,antep dâ' attas ebbal rowa,lempar ke atas bola itu
19,balon rowa abbher dâ' langgè',balon itu terbang ke langit
20,bhâlâ' atèh èdhingghâlaghi èbhu,luka hati ditinggalkan ibu
21,kala taro bi' bhândhâr,kalah taruh dengan bandar (juru judi)
22,ramah mon ghighir bhântèng korsè,bapak kalau marah banting kursi
23,mon bheddhâl roma kodhu amèt dâ' orèng towa,kalau keluar rumah harus pamit ke orang tua
24,bheddhuk ètabbhu tandhâhna maso' bâkto magrib,beduk ditabuh tandanya masuk waktu maghrib
25,bhibhit jhâghung arghâhna larang,bibit jagung harganya mahal
26,alè' bhunga polana marè èmellèaghi jhâjhân,adik gembira karena sudah dibelikan jajan
27,bhuruk sè mangkat dâ' Sampang,tidak jadi yang berangkat ke Sampang
28,èbherri' bhutok so pamarènta,diberi pupuk oleh pemerintah
29,bâdâh teleppo èburi',ada bisul dipantat
30,Sinap andi' pemèkkèran sè cabhâr,Sinap punya pemikiran yang lambat
31,sèngko' andi' cagher rajâh è masa adâ',aku punya harapan besar di masa depan
32,cambur mowana ana' rowa polana kembhâr,serupa wajahnya anak itu karena kembar
33,sokohna sèngko' lokah polana labu dâri sapèda,kakinya aku luka karena jatuh dari sepeda
34,lokahna alè' tambâ sarah,lukanya adik tambah parah
35,ènga' dâ' robâhna sè raddhin,ingat ke wajahnya yang cantik
36,bukka' labâng rowa kodhu ècotèk,buka pintu itu harus dicungkil
37,mon andi' kanca kodhu salèng sapah,kalau punya teman harus saling sapa
38,ghugghu' mon andi' kanca anyar,canggung kalau punya teman baru
39,tèm ebbal rowa èghempor moso,tim bola itu digempur musuh
40,ramah maèn cator bhâreng alè',bapak main permainan catur sama adik
41,kopi rowa ètambâ ghulâh pas bi' kolak,kopi itu ditambah gula pas dengan takaran
42,jhujjhuna satè modâ arghâhna,tusuknya sate murah harganya
43,labu polana cerobhu saat setir sapèda,jatuh karena ceroboh saat setir sepeda
44,mon andi' montor cèrèna orèng soghi,kalau punya mobil cirinya orang kaya
45,ella maèn è songay,jangan main di sungai
46,Ikbal serrèng tellat mon mangkat sakolah,Ikbal sering telat kalau berangkat sekolah
47,kodhu tondu dâ' orèng towa,harus tunduk ke orang towa
48,orèng rowa addhuh kowat bi' kancana,orang itu adu kuat dengan temannya
49,orèng mèskèn biyasahna bâjâr otang èangsor,orang miskin biasanya bayar utang diangsur
50,ana' rowa maèn pesawat dâri koran bekkas,anak itu main pesawat dari koran bekas
